address,city,rn_wage,zip,facility_name,medicaid,private_pay,total_hours,street,medicare,fname,rn_hours,idph_id,lat,lon
1190 E 2900 NORTH RD CLIFTON IL 60927,CLIFTON,27.05,60927,A MERKLE C KNIPPRATH N H,1141736,1291644,23038,1190 E 2900 NORTH RD,564857,a_merkle_c_knipprath_n_h_2014_0021832.xml.xml,7542,21832,40.929776,-87.90686
31 West Central Roselle IL 60172,Roselle,26.2,60172,Abbington Rehab & Nrsing Ctr,2971701,485235,25521,31 West Central,739822,abbington_rehab_nursing_ctr_2014_0039693.xml.xml,11077,39693,41.983401,-88.081234
405 Central Avenue Highland Park IL 60035,Highland Park,30.43,60035,Abbott House,3934721,395736,37571,405 Central Avenue,0,abbott_house_2014_0023739.xml.xml,7624,23739,42.186896,-87.795685
4029 Aberdeen Street Alton IL 62002,Alton,0,62002,Aberdeen Terrace,1069769,104347,5583,4029 Aberdeen Street,0,aberdeen_terrace_2014_0039081.xml.xml,0,39081,38.893725,-90.122525
555 McHenry Road Wheeling IL 60090,Wheeling,34.33,60090,Addolorata Villa,1013051,14818567,38626,555 McHenry Road,1466736,addolorata_villa_2014_0045443.xml.xml,31221,45443,42.145776,-87.940696
50 Adloff Lane Springfield IL 62703,Springfield,0,62703,Adloff Place,921556,0,5278,50 Adloff Lane,0,adloff_place_2014_0038463.xml.xml,0,38463,39.76093,-89.611791
901 Maple Avenue Evanston IL 60202,Evanston,32.7,60202,Albany Care,9618875,184335,124533,901 Maple Avenue,0,albany_care_2014_0037762.xml.xml,1372,37762,42.033991,-87.685226
550 S Mulford Ave Rockford IL 61108,Rockford,29.36,61108,Alden Alma Nelson Manor,7171751,802593,67792,550 S Mulford Ave,3506610,alden_alma_nelson_manor_2014_0044891.xml.xml,22283,44891,42.262681,-88.999592
1221 East Golf Road Des Plaines IL 60016,Des Plaines,30.26,60016,Alden Des Plaines Rehab & HC,1820092,1397852,31193,1221 East Golf Road,6382813,alden_des_plaines_rehab_hc_2014_0042010.xml.xml,27301,42010,42.054167,-87.894324
1420 S Barrington Rd Barrington IL 60010,Barrington,33.51,60010,Alden Estates of Barrington,5501707,1156222,42782,1420 S Barrington Rd,7367628,alden_estates_of_barrington_2014_0046524.xml.xml,46548,46524,42.062147,-88.144742
2520 Gross Point Rd Evanston IL 60201,Evanston,31.89,60201,Alden Estates of Evanston,312794,1113652,19414,2520 Gross Point Rd,4697426,alden_estates_of_evanston_2014_0040733.xml.xml,28174,40733,42.062677,-87.73052
1525 S Oxford Lane Naperville IL 60565,Naperville,32.6,60565,Alden Estates of Naperville,6064149,828170,54580,1525 S Oxford Lane,5452936,alden_estates_of_naperville_2014_0022509.xml.xml,34879,22509,41.741834,-88.123584
710 West Black Road Shorewood IL 60404,Shorewood,29.9,60404,Alden Estates of Shorewood,396069,216525,27448,710 West Black Road,11213646,alden_estates_of_shorewood_2014_0050781.xml.xml,43710,50781,41.536059,-88.199213
4626 Old Orchard Rd Skokie IL 60076,Skokie,30.27,60076,Alden Estates of Skokie,0,6540,9200,4626 Old Orchard Rd,3889956,alden_estates_of_skokie_2014_0050146.xml.xml,17511,50146,42.062535,-87.744362
820 West Lawrence Chicago IL 60640,Chicago,30.38,60640,Alden Lakeland Rehab & HCC,9672101,282335,53484,820 West Lawrence,2650471,alden_lakeland_rehab_hcc_2014_0017319.xml.xml,53233,17319,41.969226,-87.650399
504 W Wellington Ave Chicago IL 60657,Chicago,28.47,60657,Alden Lincoln Rehab & HC Ctr,3336769,275987,29201,504 W Wellington Ave,1460555,alden_lincoln_rehab_h_c_ctr_2014_0040709.xml.xml,25297,40709,41.936627,-87.641932
RFD Old Hicks 2308 Long Grove IL 60047,Long Grove,31.5,60047,Alden Long Grove Rehab & HCC,6516148,687686,56010,RFD Old Hicks 2308,2489715,alden_long_grove_rehab_hcc_2014_0040683.xml.xml,30740,40683,42.15781,-88.019043
5050 West Touhy Ave Skokie IL 60077,Skokie,33.34,60077,Alden North Shore Reh & HCC,183401,399341,19622,5050 West Touhy Ave,7450318,alden_north_shore_rehab_hcc_2014_0042028.xml.xml,25184,42028,42.011947,-87.77304
5831 N Northwest Hwy Chicago IL 60631,Chicago,31.75,60631,Alden Northmoor Rehab & HCC,8070844,1872617,61031,5831 N Northwest Hwy,2605338,alden_northmoor_rehab_hcc_2014_0041277.xml.xml,35305,41277,41.987287,-87.789873
